index,name
0,70
1,65
2,69
3,63
4,54
5,68
6,56
7,52
8,61
9,38
10,ACAM1
11,67
12,48
13,49
14,GLVIO1
15,40
16,TRIEI
17,58
18,SYNP2
19,THEEB
20,CYAP4
21,SYNR3
22,66
23,SYNE7
24,SYNP6
25,SYNJA
26,SYNJB
27,36
28,NOSP7
29,53
30,SYNY3
31,64
32,60
33,ANASP
34,ANAVT
35,37
36,39
37,45
38,62
39,50
40,57
41,CYAA5
42,CYAP8
43,CYAP7
44,MICAN
45,PROMM
46,PROM3
47,41
48,59
49,SYNPW
50,SYNS3
51,SYNPX
52,51
53,PRMAR1
54,PROM4
55,43
56,55
57,SYNS9
58,SYNSC
59,PROM1
60,PROMT
61,47
62,46
63,PROM9
64,44
65,PROM5
66,PROMP
67,PROM2
68,42
69,PROM0
70,PROMS
